New log 
1,0.18,1,0.18,{'name': 'RT_AIRTEMP1(LIM)', 'value': 16.189669642175936, 'short_desc': ' Air Temp', 'units': ''}1,0.18,{'name': 'RT_COOLANTTEMP1(LIM)', 'value': 21.95635919737545, 'short_desc': ' Coolant Temp', 'units': ''}1,0.18,{'name': 'RT_BATTERYVOLTAGE(LIM)', 'value': 0.0, 'short_desc': ' Battery Voltage', 'units': 'V'}1,0.18,{'name': 'RT_SOFTCUTTIME', 'value': 7800.0, 'short_desc': ' Soft Cut', 'units': 'RPM'}1,0.18,{'name': 'RT_HARDCUTTIME', 'value': 7900.0, 'short_desc': ' Hard Cut', 'units': 'RPM'}
2,0.36,2,0.36,{'name': 'RT_AIRTEMP1(LIM)', 'value': 16.189669642175936, 'short_desc': ' Air Temp', 'units': ''}2,0.36,{'name': 'RT_COOLANTTEMP1(LIM)', 'value': 21.95635919737545, 'short_desc': ' Coolant Temp', 'units': ''}2,0.36,{'name': 'RT_BATTERYVOLTAGE(LIM)', 'value': 0.0, 'short_desc': ' Battery Voltage', 'units': 'V'}2,0.36,{'name': 'RT_SOFTCUTTIME', 'value': 7800.0, 'short_desc': ' Soft Cut', 'units': 'RPM'}2,0.36,{'name': 'RT_HARDCUTTIME', 'value': 7900.0, 'short_desc': ' Hard Cut', 'units': 'RPM'}
3,0.54,3,0.54,{'name': 'RT_AIRTEMP1(LIM)', 'value': 16.189669642175936, 'short_desc': ' Air Temp', 'units': ''}3,0.54,{'name': 'RT_COOLANTTEMP1(LIM)', 'value': 21.95635919737545, 'short_desc': ' Coolant Temp', 'units': ''}3,0.54,{'name': 'RT_BATTERYVOLTAGE(LIM)', 'value': 0.0, 'short_desc': ' Battery Voltage', 'units': 'V'}3,0.54,{'name': 'RT_SOFTCUTTIME', 'value': 7800.0, 'short_desc': ' Soft Cut', 'units': 'RPM'}3,0.54,{'name': 'RT_HARDCUTTIME', 'value': 7900.0, 'short_desc': ' Hard Cut', 'units': 'RPM'}
4,0.72,4,0.72,{'name': 'RT_AIRTEMP1(LIM)', 'value': 16.189669642175936, 'short_desc': ' Air Temp', 'units': ''}4,0.72,{'name': 'RT_COOLANTTEMP1(LIM)', 'value': 21.95635919737545, 'short_desc': ' Coolant Temp', 'units': ''}4,0.72,{'name': 'RT_BATTERYVOLTAGE(LIM)', 'value': 0.0, 'short_desc': ' Battery Voltage', 'units': 'V'}4,0.72,{'name': 'RT_SOFTCUTTIME', 'value': 7800.0, 'short_desc': ' Soft Cut', 'units': 'RPM'}4,0.72,{'name': 'RT_HARDCUTTIME', 'value': 7900.0, 'short_desc': ' Hard Cut', 'units': 'RPM'}
5,0.8999999999999999,5,0.8999999999999999,{'name': 'RT_AIRTEMP1(LIM)', 'value': 16.189669642175936, 'short_desc': ' Air Temp', 'units': ''}5,0.8999999999999999,{'name': 'RT_COOLANTTEMP1(LIM)', 'value': 21.95635919737545, 'short_desc': ' Coolant Temp', 'units': ''}5,0.8999999999999999,{'name': 'RT_BATTERYVOLTAGE(LIM)', 'value': 0.0, 'short_desc': ' Battery Voltage', 'units': 'V'}5,0.8999999999999999,{'name': 'RT_SOFTCUTTIME', 'value': 7800.0, 'short_desc': ' Soft Cut', 'units': 'RPM'}5,0.8999999999999999,{'name': 'RT_HARDCUTTIME', 'value': 7900.0, 'short_desc': ' Hard Cut', 'units': 'RPM'}
6,1.0799999999999998,6,1.0799999999999998,{'name': 'RT_AIRTEMP1(LIM)', 'value': 16.189669642175936, 'short_desc': ' Air Temp', 'units': ''}6,1.0799999999999998,{'name': 'RT_COOLANTTEMP1(LIM)', 'value': 21.95635919737545, 'short_desc': ' Coolant Temp', 'units': ''}6,1.0799999999999998,{'name': 'RT_BATTERYVOLTAGE(LIM)', 'value': 0.0, 'short_desc': ' Battery Voltage', 'units': 'V'}6,1.0799999999999998,{'name': 'RT_SOFTCUTTIME', 'value': 7800.0, 'short_desc': ' Soft Cut', 'units': 'RPM'}6,1.0799999999999998,{'name': 'RT_HARDCUTTIME', 'value': 7900.0, 'short_desc': ' Hard Cut', 'units': 'RPM'}
7,1.2599999999999998,7,1.2599999999999998,{'name': 'RT_AIRTEMP1(LIM)', 'value': 16.189669642175936, 'short_desc': ' Air Temp', 'units': ''}7,1.2599999999999998,{'name': 'RT_COOLANTTEMP1(LIM)', 'value': 21.95635919737545, 'short_desc': ' Coolant Temp', 'units': ''}7,1.2599999999999998,{'name': 'RT_BATTERYVOLTAGE(LIM)', 'value': 0.0, 'short_desc': ' Battery Voltage', 'units': 'V'}7,1.2599999999999998,{'name': 'RT_SOFTCUTTIME', 'value': 7800.0, 'short_desc': ' Soft Cut', 'units': 'RPM'}7,1.2599999999999998,{'name': 'RT_HARDCUTTIME', 'value': 7900.0, 'short_desc': ' Hard Cut', 'units': 'RPM'}
8,1.4399999999999997,8,1.4399999999999997,{'name': 'RT_AIRTEMP1(LIM)', 'value': 16.189669642175936, 'short_desc': ' Air Temp', 'units': ''}8,1.4399999999999997,{'name': 'RT_COOLANTTEMP1(LIM)', 'value': 21.95635919737545, 'short_desc': ' Coolant Temp', 'units': ''}8,1.4399999999999997,{'name': 'RT_BATTERYVOLTAGE(LIM)', 'value': 0.0, 'short_desc': ' Battery Voltage', 'units': 'V'}8,1.4399999999999997,{'name': 'RT_SOFTCUTTIME', 'value': 7800.0, 'short_desc': ' Soft Cut', 'units': 'RPM'}8,1.4399999999999997,{'name': 'RT_HARDCUTTIME', 'value': 7900.0, 'short_desc': ' Hard Cut', 'units': 'RPM'}
9,1.6199999999999997,9,1.6199999999999997,{'name': 'RT_AIRTEMP1(LIM)', 'value': 16.189669642175936, 'short_desc': ' Air Temp', 'units': ''}9,1.6199999999999997,{'name': 'RT_COOLANTTEMP1(LIM)', 'value': 21.95635919737545, 'short_desc': ' Coolant Temp', 'units': ''}9,1.6199999999999997,{'name': 'RT_BATTERYVOLTAGE(LIM)', 'value': 0.0, 'short_desc': ' Battery Voltage', 'units': 'V'}9,1.6199999999999997,{'name': 'RT_SOFTCUTTIME', 'value': 7800.0, 'short_desc': ' Soft Cut', 'units': 'RPM'}9,1.6199999999999997,{'name': 'RT_HARDCUTTIME', 'value': 7900.0, 'short_desc': ' Hard Cut', 'units': 'RPM'}
10,1.7999999999999996,10,1.7999999999999996,{'name': 'RT_AIRTEMP1(LIM)', 'value': 16.189669642175936, 'short_desc': ' Air Temp', 'units': ''}10,1.7999999999999996,{'name': 'RT_COOLANTTEMP1(LIM)', 'value': 21.95635919737545, 'short_desc': ' Coolant Temp', 'units': ''}10,1.7999999999999996,{'name': 'RT_BATTERYVOLTAGE(LIM)', 'value': 0.0, 'short_desc': ' Battery Voltage', 'units': 'V'}10,1.7999999999999996,{'name': 'RT_SOFTCUTTIME', 'value': 7800.0, 'short_desc': ' Soft Cut', 'units': 'RPM'}10,1.7999999999999996,{'name': 'RT_HARDCUTTIME', 'value': 7900.0, 'short_desc': ' Hard Cut', 'units': 'RPM'}
11,1.9799999999999995,11,1.9799999999999995,{'name': 'RT_AIRTEMP1(LIM)', 'value': 16.189669642175936, 'short_desc': ' Air Temp', 'units': ''}11,1.9799999999999995,{'name': 'RT_COOLANTTEMP1(LIM)', 'value': 21.95635919737545, 'short_desc': ' Coolant Temp', 'units': ''}11,1.9799999999999995,{'name': 'RT_BATTERYVOLTAGE(LIM)', 'value': 0.0, 'short_desc': ' Battery Voltage', 'units': 'V'}11,1.9799999999999995,{'name': 'RT_SOFTCUTTIME', 'value': 7800.0, 'short_desc': ' Soft Cut', 'units': 'RPM'}11,1.9799999999999995,{'name': 'RT_HARDCUTTIME', 'value': 7900.0, 'short_desc': ' Hard Cut', 'units': 'RPM'}
